DATE,CSCICP03USM665S
1976-03-01,99.6699445589859
1976-04-01,99.7159681755213
1976-05-01,99.8655227980266
1976-06-01,100.057048233308
1976-07-01,100.194942633896
1976-08-01,100.203595995504
1976-09-01,100.135054688035
1976-10-01,100.056772919546
1976-11-01,100.016558869285
1976-12-01,100.017261281762
1977-01-01,100.06082037493
1977-02-01,100.151402286792
1977-03-01,100.255676840162
1977-04-01,100.331178238092
1977-05-01,100.340973118947
1977-06-01,100.297101765765
1977-07-01,100.204740925661
1977-08-01,100.060032863254
1977-09-01,99.8964039010372
1977-10-01,99.7527769998035
1977-11-01,99.660705237741
1977-12-01,99.6115032296932
1978-01-01,99.5792554396026
1978-02-01,99.5009547389415
1978-03-01,99.3663030714835
1978-04-01,99.3650756035828
1978-05-01,99.3886907701344
1978-06-01,99.3537338406917
1978-07-01,99.3279792270869
1978-08-01,99.231540739721
1978-09-01,99.1388799996398
1978-10-01,98.9148219284467
1978-11-01,98.5374269871109
1978-12-01,98.1954329228605
1979-01-01,98.170694988256
1979-02-01,98.1557388361078
1979-03-01,97.9691329502602
1979-04-01,97.7776351465937
1979-05-01,97.6497168373742
1979-06-01,97.470807036448
1979-07-01,97.3129327421235
1979-08-01,97.3488855145628
1979-09-01,97.3885247235435
1979-10-01,97.3147583484094
1979-11-01,97.2971364176892
1979-12-01,97.336130937159
1980-01-01,97.4188847197984
1980-02-01,97.2154736427856
1980-03-01,96.6867873610377
1980-04-01,96.2764298092866
1980-05-01,96.2423056904493
1980-06-01,96.6295761797982
1980-07-01,97.189677294435
1980-08-01,97.7987896494851
1980-09-01,98.3121180411686
1980-10-01,98.5303078385668
1980-11-01,98.4227933878632
1980-12-01,98.0592456891183
1981-01-01,97.9127666208907
1981-02-01,97.8191464967494
1981-03-01,97.9175728041082
1981-04-01,98.2262744562327
1981-05-01,98.4980531851355
1981-06-01,98.5907058106957
1981-07-01,98.6441579342724
1981-08-01,98.6194729151827
1981-09-01,98.3605054964874
1981-10-01,97.9754146471077
1981-11-01,97.6236974081306
1981-12-01,97.5789836439712
1982-01-01,97.6829284363167
1982-02-01,97.5971161971391
1982-03-01,97.4703243970838
1982-04-01,97.506359932513
1982-05-01,97.5728750534256
1982-06-01,97.5682019507994
1982-07-01,97.5850491344058
1982-08-01,97.7079841865815
1982-09-01,97.9620548538131
1982-10-01,98.1898539945617
1982-11-01,98.2463613345481
1982-12-01,98.2430778983936
1983-01-01,98.3418811954614
1983-02-01,98.7352875061384
1983-03-01,99.3749899607224
1983-04-01,100.061896376071
1983-05-01,100.520082447071
1983-06-01,100.665263051001
1983-07-01,100.630050323865
1983-08-01,100.492156732155
1983-09-01,100.378671249609
1983-10-01,100.385252025131
1983-11-01,100.57450611597
1983-12-01,100.900345262585
1984-01-01,101.225922146656
1984-02-01,101.354619067498
1984-03-01,101.383594979231
1984-04-01,101.26430304666
1984-05-01,101.187895431247
1984-06-01,101.140497051802
1984-07-01,101.209824698625
1984-08-01,101.333310464605
1984-09-01,101.355390422696
1984-10-01,101.191783233347
1984-11-01,101.014600535263
1984-12-01,100.886467687683
1985-01-01,100.868643018849
1985-02-01,100.826854575363
1985-03-01,100.805952614054
1985-04-01,100.806954821923
1985-05-01,100.807948277456
1985-06-01,100.866682417177
1985-07-01,100.797279481905
1985-08-01,100.652497399033
1985-09-01,100.505368344397
1985-10-01,100.409811626164
1985-11-01,100.513231014661
1985-12-01,100.72618018796
1986-01-01,100.906707716796
1986-02-01,100.992725139349
1986-03-01,101.017159206335
1986-04-01,101.056466183253
1986-05-01,101.114113183918
1986-06-01,101.207887517833
1986-07-01,101.151101640422
1986-08-01,100.976794691249
1986-09-01,100.810349172443
1986-10-01,100.721501799663
1986-11-01,100.545471772801
1986-12-01,100.39769942142
1987-01-01,100.366432084281
1987-02-01,100.395753237188
1987-03-01,100.466487304307
1987-04-01,100.543857355378
1987-05-01,100.575814488222
1987-06-01,100.645879276387
1987-07-01,100.745504862395
1987-08-01,100.750054469319
1987-09-01,100.572408463373
1987-10-01,100.238988771547
1987-11-01,99.9753202880549
1987-12-01,100.044495843905
1988-01-01,100.297189044337
1988-02-01,100.528369985613
1988-03-01,100.685035052046
1988-04-01,100.727110574208
1988-05-01,100.816105010588
1988-06-01,100.8816738776
1988-07-01,100.947006010901
1988-08-01,101.051744123455
1988-09-01,101.037015198047
1988-10-01,100.901115372193
1988-11-01,100.802728288604
1988-12-01,100.828486523083
1989-01-01,100.964742343809
1989-02-01,100.945193152564
1989-03-01,100.805260160184
1989-04-01,100.613873204394
1989-05-01,100.486787417892
1989-06-01,100.45567408592
1989-07-01,100.503121833273
1989-08-01,100.582239381341
1989-09-01,100.730355849858
1989-10-01,100.713649410364
1989-11-01,100.592686463742
1989-12-01,100.520427155919
1990-01-01,100.517871076405
1990-02-01,100.500274266359
1990-03-01,100.567469671523
1990-04-01,100.618593829489
1990-05-01,100.492081813393
1990-06-01,100.213818022289
1990-07-01,99.7437992243528
1990-08-01,98.9896551244439
1990-09-01,98.265156587109
1990-10-01,97.6861118940028
1990-11-01,97.4804845835152
1990-12-01,97.5429969745446
1991-01-01,97.8824795506474
1991-02-01,98.5018056943281
1991-03-01,99.2080465851083
1991-04-01,99.4075257535536
1991-05-01,99.3909076544788
1991-06-01,99.4545945772591
1991-07-01,99.5144746221332
1991-08-01,99.4796366250037
1991-09-01,99.2845747120537
1991-10-01,98.8204311224489
1991-11-01,98.2451638706516
1991-12-01,97.9066933140172
1992-01-01,97.8591965104499
1992-02-01,98.0979826006096
1992-03-01,98.5264155869251
1992-04-01,98.8667657176068
1992-05-01,99.0605378957467
1992-06-01,99.0662484478726
1992-07-01,98.8958644445354
1992-08-01,98.7472200474183
1992-09-01,98.7369986650942
1992-10-01,98.9918244754607
1992-11-01,99.6009309333827
1992-12-01,100.09659173679
1993-01-01,100.226283361116
1993-02-01,100.113127027259
1993-03-01,99.9305173033411
1993-04-01,99.7044929152817
1993-05-01,99.4157724461631
1993-06-01,99.1912469994807
1993-07-01,98.9826401966352
1993-08-01,98.9291605228518
1993-09-01,99.0481322578909
1993-10-01,99.3230068746398
1993-11-01,99.6534547536922
1993-12-01,100.132998163543
1994-01-01,100.54590475749
1994-02-01,100.693384409329
1994-03-01,100.682827690519
1994-04-01,100.653709894047
1994-05-01,100.592467979319
1994-06-01,100.488234692932
1994-07-01,100.417101633274
1994-08-01,100.46218333793
1994-09-01,100.531517694742
1994-10-01,100.623769760429
1994-11-01,100.735876253911
1994-12-01,100.908920389848
1995-01-01,100.989409060867
1995-02-01,100.85909882439
1995-03-01,100.642271605029
